"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.28.16721","Microsoft Corporation","20240714"
"3Dconnexion LCD Applets for SpacePilot Pro","1.5.1","3Dconnexion","20230722"
"Microsoft Visual Studio Code","1.91.1","Microsoft Corporation","20240714"
"THX V3 APO Presets","3.0.36.1","THX","20231209"
"THX Spatial Audio USB 1532-0528","3.0.36.0","THX","20231209"
"Microsoft .NET Host - 7.0.20 (x64)","56.80.15184","Microsoft Corporation","20240529"
"Aspire.Hosting.Orchestration.win-x64 (x64)","8.0.0.0","Microsoft Corporation","20240526"
"Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)","34.0.95","Microsoft Corporation","20240526"
"Microsoft ASP.NET Core 6.0.32 Shared Framework (x64)","6.0.32.24314","Microsoft Corporation","20240711"
"Microsoft ASP.NET Core Module V2 for IIS Express","17.0.22116.0","Microsoft Corporation","20240507"
"Loupedeck UI 5.9.1.19364","5.9.1.19364","LoupeDeck Ltd","20240418"
"Python 3.13.0b3 Executables (64-bit)","3.13.113.0","Python Software Foundation","20240701"
"iCloud Outlook","15.0.0.215","Apple Inc.","20240224"
"Logitech LCD Manager","3.06.109","Logitech Inc.","20230722"
"Microsoft.NET.Sdk.Android.Manifest-6.0.300","128.75.16384","Microsoft Corporation","20240306"
"Microsoft.NET.Sdk.macOS.Manifest-6.0.300","100.255.42208","Microsoft Corporation","20240306"
"Microsoft .NET Core Runtime - 2.1.0 (x64)","16.64.26515","Microsoft Corporation","20240306"
"Microsoft Windows Desktop Runtime - 8.0.7 (x64)","64.28.16739","Microsoft Corporation","20240710"
"Microsoft .NET AppHost Pack - 6.0.32 (x64)","48.128.16743","Microsoft Corporation","20240711"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20240507"
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0","Microsoft Corporation","20240507"
"Microsoft Windows Desktop Targeting Pack - 6.0.32 (x64)","48.128.16742","Microsoft Corporation","20240711"
"Snagit 2022","22.1.0","TechSmith Corporation","20230721"
"Elgato Stream Deck","6.7.0.20977","Corsair Memory, Inc.","20240726"
"Microsoft.NET.Workload.Emscripten.Manifest (x64)","48.128.15345","Microsoft Corporation","20240711"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.300","125.191.42208","Microsoft Corporation","20240306"
"Aspire.Hosting.Sdk (x64)","8.0.0.0","Microsoft Corporation","20240526"
"Visual Studio Community 2022","17.10.4","Microsoft Corporation","20240507"
"Advanced SystemCare","17.5.0","IObit","20240704"
"AMD Chipset Software","6.05.28.016","Advanced Micro Devices, Inc.",
"AnyDesk","ad 8.0.10","AnyDesk Software GmbH",
,,,
"FileZilla 3.67.1","3.67.1","Tim Kosse",
"HandBrake 1.8.1","1.8.1",,
"K-Lite Codec Pack 18.4.5 Full","18.4.5","KLCP","20240710"
"Microsoft Edge","126.0.2592.113","Microsoft Corporation","20240720"
"Microsoft Edge Update","1.3.193.5",,
"Microsoft Edge WebView2 Runtime","126.0.2592.113","Microsoft Corporation","20240720"
"No-IP DUC","4.1.1","Vitalwerks Internet Solutions LLC",
"OBS Studio","30.2.2","OBS Project",
"Razer Cortex","10.14.8.0","Razer Inc.","20240709"
"Razer Synapse","3.9.0630.062714","Razer Inc.",
"Razer Virtual Ring Light","2.0.0.23","Razer Inc.",
"Express Scribe Transcription Software","13.06","NCH Software",
"Steam","2.10.91.91","Valve Corporation",
"Streamer Companion App","2.0.1.3","Razer Inc.",
"Synology Assistant (remove only)","7.0.4-50051","Synology",
"Teleport Pro","1.61","Tennyson Maxwell Information Systems, Inc.",
"THX Spatial Audio","2.0.1.12","Razer Inc.",
"Voicemeeter, The Virtual Mixing Console",,"VB-Audio Software",
"WavePad Sound Editor","19.28","NCH Software",
,,,
"X-Mouse Button Control 2.20.5","2.20.5","Highresolution Enterprises",
"Intel(R) Wireless Bluetooth(R)","23.60.0.1","Intel Corporation","20240702"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664","12.0.40664.0","Microsoft Corporation",
"Microsoft .NET Host - 8.0.7 (x86)","64.28.16731","Microsoft Corporation","20240710"
"Microsoft Visual Studio Setup WMI Provider","3.9.2148.60653","Microsoft Corporation","20240507"
"vs_clickoncebootstrappermsires","17.10.34803","Microsoft Corporation","20240526"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20240522"
"vs_clickoncebootstrappermsi","17.10.34804","Microsoft Corporation","20240526"
"PowerToys (Preview) x64","0.82.1","Microsoft Corporation",
"Microsoft .NET Framework 4.7.2 Targeting Pack","4.7.03062","Microsoft Corporation","20240507"
"Logi Tune 3.6.255","3.6.255.0","Logitech","20240620"
"vs_CoreEditorFonts","17.7.40001","Microsoft Corporation","20240507"
"Microsoft .NET Host - 6.0.32 (x86)","48.128.16743","Microsoft Corporation","20240711"
"BrLogRx","1.0.3.1","Brother Industries Ltd.","20230722"
"DriverInstaller","1.0.3.1","Brother Industries Ltd.","20230722"
"vs_tipsmsi","17.10.34803","Microsoft Corporation","20240526"
"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)","4.8.09037","Microsoft Corporation","20240507"
"Microsoft Windows Desktop Runtime - 6.0.32 (x64)","6.0.32.33814","Microsoft Corporation",
"Microsoft GameInput","10.1.22621.3036","Microsoft Corporation","20230806"
"ClickOnce Bootstrapper Package for Microsoft .NET Framework","4.8.09037","Microsoft Corporation","20240507"
"Microsoft ASP.NET Core 8.0.7 Shared Framework (x86)","8.0.7.24314","Microsoft Corporation","20240714"
"Lightshot-5.5.0.7","5.5.0.7","Skillbrains","20230721"
"Microsoft .NET Runtime - 8.0.7 (x86)","64.28.16731","Microsoft Corporation","20240710"
"vs_communitysharedmsi","17.10.34804","Microsoft Corporation","20240526"
"Microsoft Windows Desktop Runtime - 7.0.20 (x64)","7.0.20.33720","Microsoft Corporation",
"Python Launcher","3.13.113.0","Python Software Foundation","20240701"
"SoftwareUpdateNotification","1.0.21.0","Brother Industries, Ltd.","20230722"
"Cyberduck","6.4.6.27773","iterate GmbH",
"vs_BlendMsi","17.10.34803","Microsoft Corporation","20240526"
"vs_minshellmsires","17.10.34804","Microsoft Corporation","20240526"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810","14.40.33810.0","Microsoft Corporation",
"THX V3 APO Presets","3.0.14","THX",
"3Dconnexion Navigation Library Server","1.4.4.19928","3Dconnexion","20230722"
"Microsoft .NET Runtime - 7.0.20 (x86)","56.80.15184","Microsoft Corporation","20240529"
"Synology Drive Client","7.3.0.15082","Synology","20230801"
"Audio Monitor version 0.8.5","0.8.5","Exeldro","20240416"
"3Dconnexion Trainer","3.2.7.17569","3Dconnexion","20230722"
"AppLogLibSetup","1.0.3.0","Brother Industries Ltd.","20230722"
"Wondershare Helper Compact 2.6.0","2.6.0","Wondershare","20230726"
"vs_filehandler_x86","17.10.34804","Microsoft Corporation","20240526"
"Snagit 2022","22.1.0.20078","TechSmith Corporation",
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810","14.40.33810.0","Microsoft Corporation",
"Microsoft .NET Host - 7.0.20 (x86)","56.80.15184","Microsoft Corporation","20240529"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20240522"
"Intel? Software Installer","23.60.1.2","Intel Corporation",
"THX V3 APO Presets","3.0.18","THX",
"BrSupportTools","1.0.28.0","Brother Industries Ltd.","20230722"
"RemoteSetup","1.1.11.0","Brother Industries Ltd.","20230722"
"vs_vswebprotocolselectormsi","17.10.34803","Microsoft Corporation","20240526"
"Minecraft Launcher","2.0.0.0","Mojang","20240224"
"3Dconnexion Assembly Demo","0.9.8.0","3Dconnexion","20230722"
"Microsoft Visual Studio Setup Configuration","3.9.2148.60653","Microsoft Corporation","20240507"
"DriverInstaller","1.0.4.1","Brother Industries Ltd.","20230722"
"THX V3 APO Presets","3.0.36.1","THX",
"Microsoft Windows Desktop Runtime - 8.0.7 (x86)","8.0.7.33814","Microsoft Corporation",
"vs_githubprotocolhandlermsi","17.10.34803","Microsoft Corporation","20240526"
"vs_clickoncesigntoolmsi","17.10.34803","Microsoft Corporation","20240526"
"Microsoft NetStandard SDK","15.0.51105","Microsoft Corporation","20240507"
"Microsoft Windows Desktop Runtime - 8.0.7 (x64)","8.0.7.33814","Microsoft Corporation",
"icecap_collectionresources","17.10.34804","Microsoft Corporation","20240526"
"Microsoft .NET Runtime - 6.0.32 (x86)","48.128.16743","Microsoft Corporation","20240711"
"icecap_collectionresourcesx64","17.10.34804","Microsoft Corporation","20240526"
"vs_FileTracker_Singleton","17.10.34804","Microsoft Corporation","20240526"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005","12.0.21005.1","Microsoft Corporation",
"Microsoft TestPlatform SDK Local Feed","17.10.0.9037153","Microsoft","20240526"
"AMD PCI Driver","1.0.0.90","Advanced Micro Devices, Inc.","20240613"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20230721"
"vcpp_crt.redist.clickonce","14.40.33810","Microsoft Corporation","20240526"
"TechPowerUp GPU-Z","2.59.0","TechPowerUp","20230730"
"Microsoft .NET Host FX Resolver - 6.0.32 (x86)","48.128.16743","Microsoft Corporation","20240711"
"Source Clone version 0.1.4","0.1.4","Exeldro","20230818"
"icecap_collection_neutral","17.10.34804","Microsoft Corporation","20240526"
"Microsoft Windows Desktop Runtime - 6.0.32 (x86)","48.128.16742","Microsoft Corporation","20240711"
"BrLauncher","2.0.23.0","Brother Industries Ltd.","20230722"
"Microsoft .NET Framework 4.8 SDK","4.8.03928","Microsoft Corporation","20240507"
"AMD PSP Driver","5.27.0.0","Advanced Micro Devices, Inc.","20240613"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17","9.0.30729","Microsoft Corporation","20230722"
"Microsoft .NET Host FX Resolver - 7.0.20 (x86)","56.80.15184","Microsoft Corporation","20240529"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664","12.0.40664.0","Microsoft Corporation",
"Microsoft Windows Desktop Targeting Pack - 8.0.7 (x86)","64.28.16739","Microsoft Corporation","20240714"
"AMD Ryzen Balanced Driver","8.0.0.13","Advanced Micro Devices, Inc.","20240613"
"Microsoft .NET Host FX Resolver - 8.0.7 (x86)","64.28.16731","Microsoft Corporation","20240710"
"Intel Driver && Support Assistant","24.3.26.8","Intel","20240626"
"Microsoft ASP.NET Core 8.0.7 Targeting Pack (x86)","8.0.7.24314","Microsoft Corporation","20240714"
"Microsoft .NET Framework 4.8 Targeting Pack (ENU)","4.8.03761","Microsoft Corporation","20240507"
"HttpToUsbBridge","2.0.33.1","Brother Industries Ltd.","20230722"
"AMD SBxxx SMBus Driver","5.12.0.44","Advanced Micro Devices, Inc.","20240613"
"Microsoft .NET SDK 6.0.424 (x64)","6.4.2424.31506","Microsoft Corporation",
"Source Dock version 0.3.6","0.3.6","Exeldro","20230721"
"vs_SQLClickOnceBootstrappermsi","17.10.34803","Microsoft Corporation","20240526"
"Loupedeck 5.9.1.19364","5.9.1.19364","LoupeDeck Ltd",
"Microsoft Windows Desktop Runtime - 7.0.20 (x86)","7.0.20.33720","Microsoft Corporation",
"AMD I2C Driver","1.2.0.124","Advanced Micro Devices, Inc.","20240613"
"Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)","4.7.03062","Microsoft Corporation","20240507"
"Microsoft .NET Framework 4.8 Targeting Pack","4.8.03761","Microsoft Corporation","20240507"
"Cyberduck","6.4.6.27773","iterate GmbH","20240501"
"THX V3 APO Presets","3.0.36.1","THX",
"Insta360 Link Controller version 1.4.1","1.4.1","Arashi Vision Inc.","20230824"
"3Dconnexion 3DxWare 10","10.8.14.3575","3Dconnexion",
"Microsoft .NET Targeting Pack - 8.0.7 (x86)","64.28.16731","Microsoft Corporation","20240714"
"Microsoft ASP.NET Diagnostic Pack for Visual Studio","17.10.344.38934","Microsoft Corporation","20240714"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20240507"
"vs_devenvsharedmsi","17.10.34803","Microsoft Corporation","20240526"
"DriverInstaller","1.0.3.1","Brother Industries Ltd.","20230722"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005","12.0.21005.1","Microsoft Corporation",
"Intel? Driver & Support Assistant","24.3.26.8","Intel","20240626"
"vs_filehandler_amd64","17.10.34804","Microsoft Corporation","20240526"
"Microsoft Windows Desktop Runtime - 7.0.20 (x86)","56.80.15245","Microsoft Corporation","20240529"
"Brother Scanner Driver","1.0.27.1","Brother Industries Ltd.","20230722"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20230721"
"vs_communitymsires","17.10.34804","Microsoft Corporation","20240526"
"Brother iPrint&Scan","10.6.1.1","Brother Industries, Ltd.",
"Microsoft Windows Desktop Runtime - 6.0.32 (x86)","6.0.32.33814","Microsoft Corporation",
"Brother iPrint&Scan","10.6.1.1","Brother Industries, Ltd.","20230722"
"Logi Tune","3.6.255.0","Logitech","20240620"
"Source Record version 0.3.2","0.3.2","Exeldro","20230721"
"vs_minshellsharedmsi","17.10.34804","Microsoft Corporation","20240526"
"THX Spatial Audio USB 1532-0555","3.0.30.0","THX",
"Source Switcher version 0.4.2","0.4.2","Exeldro","20230721"
"AMD GPIO2 Driver","2.2.0.133","Advanced Micro Devices, Inc.","20240613"
"JoyToKey version 6.5","6.5","JTK software","20230722"
"vs_minshellinteropsharedmsi","17.10.34804","Microsoft Corporation","20240526"
"Microsoft Windows Desktop Runtime - 8.0.7 (x86)","64.28.16739","Microsoft Corporation","20240710"
"Chrome Remote Desktop Host","125.0.6422.31","Google LLC","20240515"
"Entity Framework 6.2.0 Tools  for Visual Studio 2022","6.2.0.0","Microsoft Corporation","20240507"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20240501"
"Microsoft .NET Core SDK 2.1.300 (x64)","2.1.300","Microsoft Corporation",
"3Dconnexion 3DxWare 10","10.8.15.3625","3Dconnexion",
"AMD_Chipset_Drivers","6.05.28.016","Advanced Micro Devices, Inc.","20240613"
"VS Immersive Activate Helper","17.0.125.0","Microsoft Corporation","20240507"
